verbe,temps,1ps,2ps,3ps,1pp,2pp,3pp
déconstruire,Imparfait,déconstruisais,déconstruisais,déconstruisait,déconstruisions,déconstruisiez,déconstruisaient
déconstruire,Futur simple,déconstruirai,déconstruiras,déconstruira,déconstruirons,déconstruirez,déconstruiront
découdre,Présent,découds,découds,découd,décousons,décousez,décousent
découdre,Passé composé,ai décousu,as décousu,a décousu,avons décousu,avez décousu,ont décousu
découdre,Imparfait,décousais,décousais,décousait,décousions,décousiez,décousaient
découdre,Futur simple,découdrai,découdras,découdra,découdrons,découdrez,découdront
découvrir,Présent,découvre,découvres,découvre,découvrons,découvrez,découvrent
découvrir,Passé composé,ai découvert,as découvert,a découvert,avons découvert,avez découvert,ont découvert
découvrir,Imparfait,découvrais,découvrais,découvrait,découvrions,découvriez,découvraient
découvrir,Futur simple,découvrirai,découvriras,découvrira,découvrirons,découvrirez,découvriront
décrire,Présent,décris,décris,décrit,décrivons,décrivez,décrivent
décrire,Passé composé,ai décrit,as décrit,a décrit,avons décrit,avez décrit,ont décrit
décrire,Imparfait,décrivais,décrivais,décrivait,décrivions,décriviez,décrivaient
décrire,Futur simple,décrirai,décriras,décrira,décrirons,décrirez,décriront
décroître,Présent,décrois,décrois,décroît,décroissons,décroissez,décroissent
décroître,Passé composé,ai décru,as décru,a décru,avons décru,avez décru,ont décru
décroître,Imparfait,décroissais,décroissais,décroissait,décroissions,décroissiez,décroissaient
décroître,Futur simple,décroîtrai,décroîtras,décroîtra,décroîtrons,décroîtrez,décroîtront
décuire,Présent,décuis,décuis,décuit,décuisons,décuisez,décuisent
décuire,Passé composé,ai décuit,as décuit,a décuit,avons décuit,avez décuit,ont décuit
décuire,Imparfait,décuisais,décuisais,décuisait,décuisions,décuisiez,décuisaient
décuire,Futur simple,décuirai,décuiras,décuira,décuirons,décuirez,décuiront
déduire,Présent,déduis,déduis,déduit,déduisons,déduisez,déduisent
déduire,Passé composé,ai déduit,as déduit,a déduit,avons déduit,avez déduit,ont déduit
déduire,Imparfait,déduisais,déduisais,déduisait,déduisions,déduisiez,déduisaient
déduire,Futur simple,déduirai,déduiras,déduira,déduirons,déduirez,déduiront
défaillir,Présent,défaille,défailles,défaille,défaillons,défaillez,défaillent
défaillir,Passé composé,ai défailli,as défailli,a défailli,avons défailli,avez défailli,ont défailli
défaillir,Imparfait,défaillais,défaillais,défaillait,défaillions,défailliez,défaillaient
défaillir,Futur simple,défaillirai,défailliras,défaillira,défaillirons,défaillirez,défailliront
défaire,Présent,défais,défais,défait,défaisons,défaites,défont
défaire,Passé composé,ai défait,as défait,a défait,avons défait,avez défait,ont défait
défaire,Imparfait,défaisais,défaisais,défaisait,défaisions,défaisiez,défaisaient
défaire,Futur simple,déferai,déferas,défera,déferons,déferez,déferont
défendre,Présent,défends,défends,défend,défendons,défendez,défendent
défendre,Passé composé,ai défendu,as défendu,a défendu,avons défendu,avez défendu,ont défendu
défendre,Imparfait,défendais,défendais,défendait,défendions,défendiez,défendaient
défendre,Futur simple,défendrai,défendras,défendra,défendrons,défendrez,défendront
démentir,Présent,démens,démens,dément,démentons,démentez,démentent
démentir,Passé composé,ai démenti,as démenti,a démenti,avons démenti,avez démenti,ont démenti
démentir,Imparfait,démentais,démentais,démentait,démentions,démentiez,démentaient
démentir,Futur simple,démentirai,démentiras,démentira,démentirons,démentirez,démentiront
démettre,Présent,démets,démets,démet,démettons,démettez,démettent
démettre,Passé composé,ai démis,as démis,a démis,avons démis,avez démis,ont démis
démettre,Imparfait,démettais,démettais,démettait,démettions,démettiez,démettaient
